[0] Type: delta | Hash: 138acf38
[96] Type: beta | Hash: 81be3f41
[97] Type: alpha | Hash: 8eed58d8
[98] Type: beta | Hash: 5e475fe9
[99] Type: gamma | Hash: b176eec9
[100] Type: beta | Hash: f1fb6f3f
[101] Type: delta | Hash: 70d7025b
[102] Type: alpha | Hash: b98c28aa
[103] Type: beta | Hash: 22412254
[104] Type: delta | Hash: d5d75b2d
[105] Type: beta | Hash: 0273e551
[106] Type: beta | Hash: bbd564a6
[107] Type: beta | Hash: 0ea2f08b
[108] Type: gamma | Hash: e698ad84
[109] Type: alpha | Hash: 4179822c
[110] Type: alpha | Hash: 7d5e8c19
[111] Type: gamma | Hash: fe27c256
[112] Type: delta | Hash: efce4ad0
[113] Type: delta | Hash: 19767b8a
[114] Type: alpha | Hash: 18b5cec5
[115] Type: gamma | Hash: dfa443ae
[116] Type: alpha | Hash: 512eaae5
[117] Type: alpha | Hash: f931ba5e
[118] Type: alpha | Hash: 84116e66
[119] Type: delta | Hash: 11f75751
[120] Type: delta | Hash: ba30428f
[121] Type: delta | Hash: 6b3aa77f
[122] Type: beta | Hash: fb002082
[123] Type: delta | Hash: db7fbc25
[124] Type: gamma | Hash: 796353b4
[125] Type: delta | Hash: ecd8d5f2
[126] Type: gamma | Hash: 01e96549
[127] Type: delta | Hash: ee8fa5bf
[128] Type: alpha | Hash: 669f4ec3
[129] Type: alpha | Hash: d99148b9
[130] Type: gamma | Hash: d8f69771
[131] Type: alpha | Hash: 717f512c
[132] Type: delta | Hash: 09fea636
[133] Type: gamma | Hash: aaff74f7
[134] Type: alpha | Hash: d21c3f14
[135] Type: delta | Hash: d938d462
[136] Type: beta | Hash: a6f7682a
[137] Type: gamma | Hash: 89495781
[138] Type: delta | Hash: c6d597fc
[139] Type: delta | Hash: 9d827a75
[140] Type: beta | Hash: 7e35df4b
[141] Type: gamma | Hash: aa1ebd9e
[142] Type: delta | Hash: 17683ee2
[143] Type: gamma | Hash: 26b523db
[144] Type: alpha | Hash: 290c173a
[145] Type: alpha | Hash: a84bf7e9
[146] Type: delta | Hash: dc775439
[147] Type: delta | Hash: 2b731f49
[148] Type: beta | Hash: f6830dcd
[149] Type: gamma | Hash: 24566b35
[150] Type: delta | Hash: c0e48547
[151] Type: gamma | Hash: 61911957
[152] Type: beta | Hash: 450ce8f2
[153] Type: gamma | Hash: b06d958a
[154] Type: beta | Hash: 8e774283
[155] Type: beta | Hash: df4debea
[156] Type: delta | Hash: 1aafb03c
[157] Type: delta | Hash: f9074f97
[158] Type: delta | Hash: 78542fa3
[159] Type: delta | Hash: d5f7ae31
[160] Type: beta | Hash: 1fd8c423
[161] Type: delta | Hash: 3a2e9e83
[162] Type: alpha | Hash: 4f205a9b
[163] Type: delta | Hash: ade51a13
[164] Type: gamma | Hash: 596860e6
[165] Type: delta | Hash: 424a9df4
[166] Type: delta | Hash: c5d92560
[167] Type: beta | Hash: 2902ecb3
[168] Type: delta | Hash: a8dd9ed1
[169] Type: alpha | Hash: acd9fc50
[170] Type: beta | Hash: 261d2c36
[171] Type: beta | Hash: dae0dcbe
[172] Type: delta | Hash: 1a6e210f
[173] Type: alpha | Hash: 6c493a93
[174] Type: gamma | Hash: b1d7d11b
[175] Type: gamma | Hash: a078d0f1
[176] Type: gamma | Hash: ed437a3e
[177] Type: delta | Hash: 0bf730b1
[178] Type: beta | Hash: acfbaf63
[179] Type: delta | Hash: 3723c51b
[180] Type: beta | Hash: f8e209c4
[181] Type: beta | Hash: e2948ecb
[182] Type: alpha | Hash: 345dc9a9
[183] Type: gamma | Hash: 6388cd82
[184] Type: alpha | Hash: c5db35a5
[185] Type: beta | Hash: f64b1b99
[186] Type: delta | Hash: 46d03261
[187] Type: gamma | Hash: 08be02d4
[188] Type: delta | Hash: 222dd13e
[189] Type: delta | Hash: 2c2c2fff
[190] Type: delta | Hash: 7e7dc2bd
[191] Type: beta | Hash: 914e3b08
[192] Type: alpha | Hash: fc73fb0f
[193] Type: gamma | Hash: a978222a
[194] Type: gamma | Hash: 535407f9
[195] Type: alpha | Hash: 2e47eb49
[196] Type: gamma | Hash: a3ab98bd
[197] Type: delta | Hash: 58529fa6
[198] Type: alpha | Hash: 0cfb1305
[199] Type: beta | Hash: a1d1f3ce
